Participant,Group,Tot_session,Inc_session,Excludegame,Game,BonusGames,TotalTrials,Perc_correct,CorrResponses,hits,latehits,go_trials,go_omissions,go_omissions_all,go_error,stop_trials,P_Hit,P_go_errors,P_go_omission,mean_all_goRT,mean_all_goRT_2SD,mean_Corr_goRT,mean_Corr_goRT_2SD,std_all_goRT,std_all_goRT_2SD,std_Corr_goRT,std_Corr_goRT_2SD,CovVar_all_goRT,CovVar_all_goRT_2SD,CovVar_Corr_goRT,CovVar_Corr_goRT_2SD,mean_Stim_dur
11,3,1,1,0,AB_Driving,0,82,65.8536585365854,54,54,0,82,22,22,6,0,0.658536585365854,0.0731707317073171,0.268292682926829,639.414634146341,588.696202531646,970.962962962963,911.901960784314,553.665316546161,496.807380370424,374.831431947697,290.531943503771,0.865894033353395,0.843911304733985,0.386040916333072,0.318599976749572,1667.2697043939
11,3,1,1,0,Mining,1,124,73.3870967741936,91,91,0,124,15,15,17,0,0.733870967741935,0.137096774193548,0.120967741935484,382.747967479675,361.358333333333,517.340659340659,492.761363636364,291.129924054985,256.22166728658,210.922693567531,155.890692202455,0.760630881914336,0.709051497230118,0.407705618646615,0.316361435182437,810.69637595124
11,3,2,2,0,AB_Driving,1,87,65.5172413793103,57,57,0,87,16,16,14,0,0.655172413793103,0.160919540229885,0.183908045977011,527.252873563218,441.256097560976,804.754385964912,695.826923076923,492.763474993996,355.290936633231,381.559079899344,140.978891641217,0.934586608630238,0.805180797720613,0.474131097082309,0.202606261651696,1140.44854240952
11,3,2,2,0,Chest_Picking,1,123,53.6585365853659,66,66,0,123,14,14,29,0,0.536585365853659,0.235772357723577,0.113821138211382,268.110091743119,261.768518518519,442.787878787879,434.938461538462,251.015210526638,243.255091156353,161.728596505809,149.782537880242,0.936239322043646,0.929275577265966,0.365250731227191,0.344376391433474,1127.63141215214
11,3,5,3,0,HR_Driving,5,95,70.5263157894737,67,67,0,95,19,19,0,0,0.705263157894737,0,0.2,208.744186046512,193.614457831325,267.940298507463,251.09375,151.756940808147,130.542660191546,116.441932543457,86.7125736932536,0.726999605030114,0.674240248655775,0.434581633267136,0.345339434746001,356.485391286813
11,3,5,3,0,Mining,5,174,64.9425287356322,113,113,0,174,29,29,15,0,0.649425287356322,0.0862068965517241,0.166666666666667,356.898089171975,315.559210526316,495.867256637168,463.009009009009,374.697077389213,271.661450137415,355.005193735266,241.289659782801,1.04987134635137,0.860888990323926,0.715927879858032,0.52113383344147,719.685145882317
11,3,7,4,0,Chest_Picking,6,20,65,13,13,0,20,2,2,3,0,0.65,0.15,0.1,316.944444444444,263.529411764706,438.846153846154,373.333333333333,301.155709621964,204.441653549081,265.575113716705,126.785669776225,0.950184535178851,0.775783060342494,0.605166779722554,0.339604472614889,6921.47921579
11,3,7,4,0,HR_Driving,6,45,73.3333333333333,33,33,0,45,9,9,0,0,0.733333333333333,0,0.2,184.047619047619,166,234.242424242424,212.6875,163.470882374925,115.623094578895,148.705461883346,83.6646290931259,0.888198843434265,0.696524666137919,0.634835736371337,0.393368811486927,299.307297818182
11,3,11,5,0,HR_Driving,7,51,49.0196078431373,25,25,0,51,12,12,0,0,0.490196078431373,0,0.235294117647059,249.702702702703,189.444444444444,369.56,284.166666666667,410.878859199323,188.300890589571,455.073719302708,160.839824904662,1.64547221456596,0.993963645340841,1.23139333072494,0.566005248931362,461.701724594118
11,3,11,5,0,Mining,7,116,81.0344827586207,94,94,0,116,12,12,9,0,0.810344827586207,0.0775862068965517,0.103448275862069,545.660869565217,483.827272727273,667.563829787234,607.4,439.859504821361,327.236969353647,393.588059267654,266.180381519033,0.806104174506487,0.676350813192183,0.589588653107671,0.438229143100153,922.338136976147
11,3,12,6,0,Chest_Picking,8,129,58.1395348837209,75,75,0,129,23,23,25,0,0.581395348837209,0.193798449612403,0.178294573643411,512.146341463415,367.103448275862,839.92,672.028571428571,751.473750759644,451.91209955824,807.458370778668,502.795632883983,1.46730278031934,1.23102112410191,0.961351522500557,0.74817597682664,1893.71037294672
11,3,12,6,0,HR_Driving,8,56,66.0714285714286,37,37,0,56,12,12,0,0,0.660714285714286,0,0.214285714285714,373.510204081633,317.695652173913,494.648648648649,448.828571428571,345.323165216836,271.149722442558,312.10897457781,248.506064041798,0.92453475552535,0.853488930638954,0.630971044660636,0.553677015816597,1165.01923118491
11,3,14,7,0,Conveyor_Belt,9,73,68.4931506849315,50,50,0,73,20,20,2,0,0.684931506849315,0.0273972602739726,0.273972602739726,569.25,483.014492753623,819.72,736.270833333333,648.657698527625,493.250219664052,632.584108790189,476.548795902252,1.13949529824791,1.02119134531984,0.771707545003402,0.64724660318916,2887.75475599254
11,3,14,7,0,HR_Driving,9,44,61.3636363636364,27,27,0,44,9,9,0,0,0.613636363636364,0,0.204545454545455,303.166666666667,238.5,404.222222222222,324.36,354.36579164151,235.031944959648,355.84183320179,216.668117943857,1.16888111591482,0.985458888719699,0.880312396595961,0.667986551806195,997.997710466667
11,3,16,8,0,AB_Driving,9,93,65.5913978494624,61,61,0,93,23,23,9,0,0.655913978494624,0.0967741935483871,0.247311827956989,393.47311827957,366.088888888889,599.885245901639,552.071428571429,324.393735243409,291.272205381779,188.327737234911,93.4402788645545,0.824436842500943,0.795632465835865,0.313939605152067,0.16925396611512,1226.20776374524
11,3,16,8,0,Conveyor_Belt,10,19,73.6842105263158,14,14,0,19,3,3,0,0,0.736842105263158,0,0.157894736842105,328.294117647059,224.3125,398.642857142857,276.076923076923,453.779512085148,153.566801425308,472.476064862689,118.307129637554,1.38223467218196,0.684610984342415,1.18521141517249,0.42852958631602,944.978408194737
11,3,16,8,0,Mining,10,109,64.2201834862385,70,70,0,109,21,21,15,0,0.642201834862385,0.137614678899083,0.192660550458716,459.320754716981,387.217821782178,695.542857142857,629.507462686567,497.85696066182,369.106423784805,458.799336823823,323.892302206016,1.08389824659368,0.953226848098016,0.659627702466061,0.514517017516728,1586.29541477308
12,3,1,1,0,AB_Driving,0,94,77.6595744680851,73,73,0,94,16,16,5,0,0.776595744680851,0.0531914893617021,0.170212765957447,476.351063829787,468.397849462366,613.383561643836,595.742857142857,281.60686038529,272.312206522976,131.192249743245,97.3720916053593,0.591175042459685,0.581369463663294,0.213882891467872,0.163446511255459,706.125751559524
12,3,1,1,0,Mining,1,124,95.1612903225806,118,118,0,124,1,1,4,0,0.951612903225806,0.032258064516129,0.00806451612903226,441.528455284553,438.842105263158,460.237288135593,441.53982300885,182.920224715282,108.155785622731,161.881495010304,104.714154742995,0.414288643293432,0.246457175201715,0.351734853266845,0.237156762054724,460.06436157807
12,3,5,2,0,AB_Driving,1,90,65.5555555555556,59,59,0,90,28,28,3,0,0.655555555555556,0.0333333333333333,0.311111111111111,415.488888888889,400.147727272727,633.796610169491,617.771929824561,323.806026151128,310.720428717459,141.925281417908,114.673763586698,0.779337389784499,0.776514290947559,0.22392874802526,0.185624755756163,864.209585037805
12,3,5,2,0,Chest_Picking,1,116,68.9655172413793,80,80,0,116,22,22,9,0,0.689655172413793,0.0775862068965517,0.189655172413793,197.351351351351,192.609090909091,273.825,265.115384615385,155.475730269077,147.902961955227,111.591793968072,97.022554717324,0.787811835107619,0.767891906125216,0.407529604557919,0.365963502488093,1146.36415972685
12,3,6,3,0,AB_Driving,2,139,64.7482014388489,90,90,0,139,42,42,6,0,0.647482014388489,0.0431654676258993,0.302158273381295,371.768115942029,337.264705882353,570.044444444444,521.227272727273,415.255497638565,262.852901696525,388.768118147425,101.107513878007,1.11697447906834,0.779366761810575,0.681996152995249,0.193979707448867,1710.75713902064
12,3,6,3,0,Conveyor_Belt,2,113,70.7964601769911,80,80,0,113,20,20,4,0,0.707964601769911,0.0353982300884956,0.176991150442478,241.990384615385,228.792079207921,314.5875,300.103896103896,171.610277330023,155.609724428243,123.570683278125,100.888498172824,0.709161554508778,0.680135977464624,0.392802267344143,0.33617856843117,369.231565475728
12,3,6,3,0,Treasure_Collect,3,119,57.9831932773109,69,69,0,119,8,8,42,0,0.579831932773109,0.352941176470588,0.0672268907563025,364.336134453782,285.333333333333,628.347826086957,525.646153846154,508.54638768651,321.036779153607,529.575324478657,297.231834535836,1.39581649909343,1.12512889890283,0.842806010449012,0.565459924629886,5294.60829304862
12,3,7,4,0,Conveyor_Belt,4,20,35,7,7,0,20,4,4,2,0,0.35,0.1,0.2,89.1307692538461,72.275000025,165.528571471429,165.528571471429,99.4356105513048,82.2009967680856,70.8603724424509,70.8603724424509,1.11561485874884,1.13733651663303,0.428085446594227,0.428085446594227,313.176447135
12,3,7,4,0,HR_Driving,4,119,56.3025210084034,67,67,0,119,25,25,0,0,0.563025210084034,0,0.210084033613445,157.595652184783,144.622471921348,216.400000014925,201.115625015625,128.550556961324,106.48521958505,99.3314683478,65.5495697965795,0.815698626067405,0.736297880753698,0.459017875882389,0.325929771948285,250.063065666087
12,3,7,4,0,Mining,4,122,90.983606557377,111,111,0,122,2,2,5,0,0.909836065573771,0.040983606557377,0.0163934426229508,397.488135587288,401.335849050943,422.554954948649,401.335849050943,197.877628656795,149.252501404601,175.951335585928,149.252501404601,0.497820213839669,0.371889283644969,0.416398703944463,0.371889283644969,434.119720229167
12,3,8,5,0,Chest_Picking,4,135,59.2592592592593,80,80,0,135,10,10,28,0,0.592592592592593,0.207407407407407,0.0740740740740741,204.491525423729,197.508620689655,301.625,293.730769230769,170.123371310438,162.905066816851,114.868044823262,104.901397496903,0.831933601932521,0.824799779614802,0.380830650056402,0.357134520743678,689.461279689147
12,3,8,5,0,HR_Driving,4,135,44.4444444444444,60,60,0,135,25,25,0,0,0.444444444444444,0,0.185185185185185,161.317647058824,137.182926829268,228.533333333333,203.362068965517,183.874776990879,117.839515061148,180.318594382903,99.7724952915227,1.13983051664416,0.858995487155667,0.789025354650977,0.49061506798714,198.6966994416
17,3,1,1,0,AB_Driving,0,96,81.25,78,78,0,96,11,11,7,0,0.8125,0.0729166666666667,0.114583333333333,397.96875,393.484210526316,489.807692307692,479.173333333333,208.085936352976,204.472953169429,88.6236838698175,71.1466649107878,0.522870040305868,0.51964716168898,0.180935671819023,0.148477930555654,644.913821560465
17,3,1,1,0,Mining,0,124,95.9677419354839,119,119,0,124,2,2,3,0,0.959677419354839,0.0241935483870968,0.0161290322580645,415.16935483871,412.504424778761,432.613445378151,412.504424778761,147.224827891045,85.9327107905828,122.405418986868,85.9327107905828,0.354613909179884,0.208319488540447,0.282944093149654,0.208319488540447,444.433743185841
17,3,2,2,0,AB_Driving,1,99,86.8686868686869,86,86,0,99,9,9,4,0,0.868686868686869,0.0404040404040404,0.0909090909090909,386.437373738384,440.640000001176,444.852325582558,440.640000001176,160.57706941336,43.9730496423813,58.6245476090965,43.9730496423813,0.415531934346675,0.0997935948671567,0.1317842893871,0.0997935948671567,477.079551735789
