Participant,Group,Tot_session,Inc_session,Game,BonusGames,TotalTrials,Perc_inhibitTrials,Perc_correct,CorrResponses,hits,go_trials,go_omissions,go_omissions_all,go_errors,P_go_errors,stop_trials,correct_inhibits,false_alarms,P_go_omission,P_Hit,P_false_alarm,P_corr_inhibit,P_val_adjusted,dprime,dprime_bias,mean_all_goRT,mean_stopRT,mean_SSD,SSD_std,mean_SSRT1,mean_SSRT2,mean_SSRT3,SSRT1_nRT,SSRT2_nRT,SSRT3_nRT,SSRT1_error_msg,SSRT2_error_msg,SSRT3_error_msg,FullSSRTExclude,mean_all_goRT2,mean_Corr_goRT,mean_InCorr_goRT,std_all_goRT,std_combined_goRT2,std_Corr_goRT,std_InCorr_goRT,std_StopRT,CovVar_all_goRT,CovVar_all_goRT2,CovVar_Corr_goRT,CovVar_InCorr_goRT,CovVar_StopRT
1,1,1,1,AB_Driving,0,85,29.4117647058824,89.4117647058823,76,57,60,2,2,1,0.0166666666666667,25,19,6,0.0333333333333333,0.95,0.24,0.76,0.248275862068965,2.540217198656,-0.563806036487913,1008.01666666667,871.666666666667,592,182.391520270726,231,231,231,823,823,823,,,"",0,1024.95161290323,985.157894736842,1442.33333333333,253.582767664716,266.346958943292,237.151683638619,156.174048206907,197.988551857593,0.251566046525073,0.259862958982864,0.240724542639906,0.108278748467927,0.227137918001062
1,1,1,1,HR_Driving,1,16,37.5,75,12,10,10,0,0,0,0,6,2,4,0,1,0.666666666666667,0.333333333333333,0.666666666666667,5.30000156997162,-3.08072808428127,683.8,598.5,125,52.4404424085076,589,589,589,714,714,714,,,"",0,683.8,683.8,NaN,129.672065011877,129.672065011877,129.672065011877,NaN,122.217020091311,0.189634491096632,0.189634491096632,0.189634491096632,NaN,0.204205547353904
1,1,1,1,Mining,1,104,30.7692307692308,80.7692307692308,84,67,72,4,4,0,0,32,17,15,0.0555555555555556,0.930555555555556,0.46875,0.53125,0.496323529411765,1.67163123075616,-0.757403202644969,740.12676056338,723.733333333333,284.375,65.300175369028,385.625,390.625,390.625,670,675,675,,,"",0,782.413333333333,693.492537313433,1521.25,266.571455420625,315.258456531168,190.203907579776,7.84750491132904,537.482287637285,0.360170000092569,0.402930833486778,0.274269580919529,0.00515858991706099,0.742652387118578
1,1,2,2,AB_Driving,1,82,29.2682926829268,85.3658536585366,70,52,58,5,5,1,0.0172413793103448,24,18,6,0.0862068965517241,0.896551724137931,0.25,0.75,0.273584905660377,2.03897849836641,-0.344999498987123,1209.5,903.166666666667,929.166666666667,77.9027636204913,183.833333333333,196.833333333333,196.833333333333,1113,1126,1126,,,"",0,1233.98412698413,1177.28846153846,1488.66666666667,169.852696759549,183.274031744068,146.736837474768,70.3865517458177,187.029855014291,0.140432159371268,0.148522195493707,0.124639663318381,0.0472816066362411,0.207082327013424
1,1,2,2,Chest_Picking,1,115,49.5652173913044,76.5217391304348,88,54,58,1,1,3,0.0517241379310345,57,34,23,0.0172413793103448,0.931034482758621,0.403508771929825,0.596491228070175,0.273584905660377,2.35865615934199,-0.935052691856563,715.810344827586,735.304347826087,929.166666666667,82.4419747337179,NaN,NaN,NaN,NaN,NaN,NaN,stop RT larger than all go rt,stop RT larger than all go rt,"stop RT larger than all go rt",1,1233.98412698413,719.907407407407,660.5,243.56024917631,183.274031744068,204.944287737352,617.001620743414,319.883705399692,0.34025807385471,0.148522195493707,0.284681454348991,0.934143256235298,0.435035786671767
1,1,2,2,Mining,2,17,29.4117647058824,82.3529411764706,14,11,12,0,0,1,0.0833333333333333,5,3,2,0,0.916666666666667,0.4,0.6,0.4,5.98407597240288,-2.73869088306564,889.75,648,320,57.0087712549569,520,520,520,840,840,840,,,"",0,889.75,894.272727272727,840,160.69628326301,160.69628326301,167.736752626901,0,72.1248916810278,0.180608354327631,0.180608354327631,0.18756778274839,0,0.111303845186771
1,1,3,3,AB_Driving,2,81,30.8641975308642,80.2469135802469,65,50,56,6,6,0,0,25,15,10,0.107142857142857,0.892857142857143,0.4,0.6,0.448,1.49521389497912,-0.494259844353761,1237.30357142857,1043.3,970,40.8248290463863,208,227,237,1178,1197,1207,,,"",0,1266.11290322581,1203.04,1522.83333333333,196.453827065881,206.570601183712,179.252183546317,8.68139773692386,223.823864282212,0.158775769829112,0.163153381232757,0.148999354590302,0.00570081935225382,0.214534519584216
1,1,3,3,HR_Driving,3,18,27.7777777777778,61.1111111111111,11,11,13,2,2,0,0,5,0,5,0.153846153846154,0.846153846153846,1,0,1.18181818181818,-4.71065263648088,-3.37540255102664,731.153846153846,361.8,60,22.3606797749979,1454,1454,0,1514,1514,1514,,,"took last RT, length(RT) < n3",0,835.533333333333,589.727272727273,1509,371.939028639965,440.967583302684,151.627234301158,7.07106781186548,105.343248478486,0.508701459476018,0.527767792989728,0.257114163297786,0.00468592963012954,0.291164313096976
1,1,3,3,Treasure_Collect,3,143,30.7692307692308,79.020979020979,113,91,99,6,6,2,0.0202020202020202,44,22,22,0.0606060606060606,0.919191919191919,0.5,0.5,0.532258064516129,1.54970590073659,-0.774852950368295,787.966717171717,604.727272727273,345.454545454545,105.001761789307,397.545454545455,422.545454545455,422.545454545455,743,768,768,,,"",0,840.470904761904,736.802197802198,1369.963125,270.813122535315,339.162715791503,182.0313294024,423.780556057508,236.011537615104,0.343685991595376,0.403538913566061,0.247055899053205,0.309337199172794,0.390277647890281
1,1,4,4,AB_Driving,3,82,29.2682926829268,93.9024390243902,77,57,58,1,1,0,0,24,20,4,0.0172413793103448,0.982758620689655,0.166666666666667,0.833333333333333,0.169590643274854,3.08180233762926,-0.573479602712929,1219.46551724138,1068.5,972.916666666667,44.1813620616566,110.083333333333,110.083333333333,110.083333333333,1083,1083,1083,,,"",0,1224.74576271186,1214,1531,188.129408197323,190.859724009486,185.097754096122,0,265.694686937219,0.154272019616349,0.15583619867921,0.152469319683791,0,0.248661382252895
