ParticipantPublicID,Game,TrialType,ReactionTime,StopSignalStartTime,InitSessions
21,AB_Driving,respond,650.0000001,200,1
21,AB_Driving,respond,808.8,200,1
21,AB_Driving,respond,965.9,150,1
21,AB_Driving,respond,1056.4,50,1
21,AB_Driving,respond,713.4,50,1
21,AB_Driving,respond,1427.6,50,1
21,AB_Driving,respond,1109.3,50,1
21,AB_Driving,respond,1136.2,50,1
21,AB_Driving,respond,970.9999999,50,1
21,AB_Driving,respond,1085.5,50,1
21,AB_Driving,respond,860.0999999,50,1
21,AB_Driving,respond,754.1,50,1
21,AB_Driving,respond,906.5,50,1
21,AB_Driving,respond,801.1,50,1
21,AB_Driving,respond,565.4,50,1
21,AB_Driving,respond,1316,50,1
21,AB_Driving,respond,1375.1,50,1
21,AB_Driving,respond,1124.7,50,1
21,AB_Driving,respond,1178.6,50,1
21,AB_Driving,inhibit,1114.7,50,1
21,AB_Driving,respond,1106,100,1
21,AB_Driving,respond,836.2999998,100,1
21,AB_Driving,inhibit,1069.4,100,1
21,AB_Driving,respond,1161,150,1
21,AB_Driving,respond,964.5999998,150,1
21,AB_Driving,respond,940.8,150,1
21,AB_Driving,respond,967.2999999,150,1
21,AB_Driving,respond,773.7,150,1
21,AB_Driving,respond,824.5999999,150,1
21,AB_Driving,respond,784.9999999,150,1
21,AB_Driving,respond,732.7999999,150,1
21,AB_Driving,inhibit,1116.9,150,1
21,AB_Driving,respond,1000,150,1
21,AB_Driving,respond,1001.6,150,1
21,AB_Driving,inhibit,1156.9,150,1
21,AB_Driving,respond,951.0999999,200,1
21,AB_Driving,respond,1242.9,200,1
21,AB_Driving,respond,1280.2,200,1
21,AB_Driving,inhibit,1039,200,1
21,AB_Driving,respond,802.9999998,250,1
21,AB_Driving,respond,763.1999999,250,1
21,AB_Driving,respond,784,250,1
21,AB_Driving,inhibit,1055.3,200,1
21,AB_Driving,respond,961.1,250,1
21,AB_Driving,inhibit,1083.9,250,1
21,AB_Driving,inhibit,1053.5,300,1
21,AB_Driving,respond,1265,350,1
21,AB_Driving,respond,677.7999999,350,1
21,AB_Driving,respond,1367.2,300,1
21,AB_Driving,respond,965.4000001,300,1
21,AB_Driving,respond,1000,300,1
21,AB_Driving,respond,796.6,300,1
21,AB_Driving,respond,862.4,300,1
21,Mining,inhibit,2091.5,200,1
21,Mining,respond,1396.6,250,1
21,Mining,respond,970.8,250,1
21,Mining,respond,1100,250,1
21,Mining,respond,1164,200,1
21,Mining,respond,1054.6,200,1
21,Mining,respond,1027.6,200,1
21,Mining,respond,1111.8,150,1
21,Mining,respond,1129.2,150,1
21,Mining,respond,1457.8,150,1
21,Mining,inhibit,1017,150,1
21,Mining,inhibit,924.2,200,1
21,Mining,respond,1431,250,1
21,Mining,inhibit,876.9,250,1
21,Mining,respond,951.0999999,300,1
21,Mining,respond,1006.5,300,1
21,Mining,respond,1104.5,300,1
21,Mining,respond,1079.4,300,1
21,Mining,respond,1207.2,300,1
21,Mining,respond,1026.3,300,1
21,Mining,respond,717.2999999,300,1
21,Mining,respond,1077.8,300,1
21,Mining,inhibit,1300.3,300,1
21,Mining,inhibit,1225.8,350,1
21,Mining,inhibit,938.9,400,1
21,Mining,respond,1281.3,450,1
21,Mining,inhibit,829.7000001,450,1
21,Mining,respond,1143.9,500,1
21,Mining,respond,1008.4,450,1
21,Mining,respond,1436.6,450,1
21,Mining,respond,1101.5,450,1
21,Mining,respond,1107.1,400,1
21,Mining,respond,1056.8,350,1
21,Mining,respond,1481,350,1
21,Mining,respond,982.7000001,350,1
21,Mining,respond,1274.1,350,1
21,Mining,respond,1231.8,300,1
21,Mining,inhibit,1259.3,300,1
21,Mining,respond,983.8,350,1
21,Mining,inhibit,1290.9,350,1
21,Mining,inhibit,1203.9,400,1
21,Mining,respond,999.3,450,1
21,Mining,respond,1073,450,1
21,Mining,respond,1291.3,400,1
21,Mining,respond,1281.4,350,1
21,Mining,respond,1425,350,1
21,Mining,respond,1461.7,350,1
21,Mining,respond,1214.5,350,1
21,Mining,respond,767.1000001,350,1
21,Mining,inhibit,1116.1,350,1
21,Mining,inhibit,1263.6,400,1
21,Mining,respond,1403.5,450,1
21,Mining,respond,1183.4,450,1
21,Mining,respond,1058.5,400,1
21,Mining,respond,1238.7,400,1
21,Mining,respond,1108.2,400,1
21,Mining,respond,1048.9,400,1
21,Mining,respond,1196.9,400,1
21,Mining,respond,1115.5,400,1
21,Mining,inhibit,1357.9,350,1
21,Mining,inhibit,1103.3,400,1
21,Mining,inhibit,1250.6,450,1
21,Mining,respond,1230.4,500,1
21,Mining,respond,1340.9,450,1
21,Mining,respond,1214.4,450,1
21,Mining,respond,1129.6,450,1
21,Mining,respond,990.7,450,1
21,Mining,respond,1439.2,450,1
21,Mining,inhibit,1336.7,450,1
21,Mining,respond,1080.5,500,1
21,Mining,inhibit,1408,500,1
21,Mining,respond,1331.7,550,1
21,Mining,respond,1217.3,500,1
21,Mining,respond,1141.6,500,1
21,Mining,respond,1432.6,500,1
21,Mining,inhibit,1430.3,500,1
21,AB_Driving,respond,1416.6,300,2
21,AB_Driving,respond,1170.7,300,2
21,AB_Driving,inhibit,1227.3,250,2
21,AB_Driving,inhibit,1083.3,300,2
21,AB_Driving,respond,867.2,350,2
21,AB_Driving,respond,758.2,350,2
21,AB_Driving,respond,679.4,350,2
21,AB_Driving,respond,581.7,350,2
21,AB_Driving,respond,583.7,350,2
21,AB_Driving,respond,1344.9,250,2
21,AB_Driving,respond,1266.3,200,2
21,AB_Driving,respond,798.2,200,2
21,AB_Driving,respond,974.5,200,2
21,AB_Driving,inhibit,1010.2,200,2
21,AB_Driving,respond,694.1,250,2
21,AB_Driving,respond,559.5,250,2
21,AB_Driving,inhibit,922.7,200,2
21,AB_Driving,respond,819.7,250,2
21,AB_Driving,respond,575.9,250,2
21,AB_Driving,respond,851.2,250,2
21,AB_Driving,respond,785.4,250,2
21,AB_Driving,respond,702.9,250,2
21,AB_Driving,respond,711.2,250,2
21,AB_Driving,respond,664.4,250,2
21,AB_Driving,respond,571,250,2
21,AB_Driving,inhibit,1069.6,250,2
21,AB_Driving,respond,745.4,250,2
21,AB_Driving,respond,779.3,250,2
21,AB_Driving,respond,674.2,250,2
21,AB_Driving,inhibit,987.7,250,2
21,AB_Driving,respond,787.2,300,2
21,AB_Driving,respond,534,300,2
21,AB_Driving,respond,821,250,2
21,AB_Driving,respond,650.6,250,2
21,AB_Driving,respond,601,200,2
21,AB_Driving,inhibit,822.1,200,2
21,AB_Driving,respond,1217,250,2
21,AB_Driving,respond,692.6,250,2
21,AB_Driving,inhibit,1368,250,2
21,AB_Driving,respond,1282.9,300,2
21,AB_Driving,respond,596.9,300,2
21,AB_Driving,respond,677.1,300,2
21,AB_Driving,respond,684.3,300,2
21,AB_Driving,respond,699.5,300,2
21,AB_Driving,inhibit,1016.5,300,2
21,AB_Driving,respond,1088.6,300,2
21,AB_Driving,respond,637.7,300,2
21,AB_Driving,inhibit,1063,300,2
21,AB_Driving,inhibit,1040.9,350,2
21,AB_Driving,respond,1049.1,400,2
21,AB_Driving,respond,798.1,400,2
21,AB_Driving,inhibit,1183.6,400,2
21,AB_Driving,respond,940.1,450,2
21,AB_Driving,respond,841.5,450,2
21,AB_Driving,respond,855.2,450,2
21,AB_Driving,respond,748.9,450,2
21,AB_Driving,respond,591.7,450,2
21,AB_Driving,respond,629.7,450,2
21,AB_Driving,respond,845.5,450,2
21,AB_Driving,respond,831.8,450,2
21,AB_Driving,inhibit,1288.3,450,2
21,AB_Driving,inhibit,1378.5,500,2
21,AB_Driving,respond,908.7,550,2
21,AB_Driving,respond,632.5,550,2
21,AB_Driving,respond,812.2,550,2
21,AB_Driving,respond,905,500,2
21,AB_Driving,respond,787.3,500,2
21,AB_Driving,respond,688,500,2
21,AB_Driving,respond,1103.5,450,2
21,AB_Driving,inhibit,1341.1,400,2
21,AB_Driving,respond,833.1,450,2
21,Chest_Picking,inhibit,1086.2,100,2
21,Chest_Picking,respond,1269.8,150,2
21,Chest_Picking,respond,1467.8,100,2
21,Chest_Picking,inhibit,1360.3,50,2
21,Chest_Picking,respond,1135.9,100,2
21,Chest_Picking,respond,1335.4,100,2
21,Chest_Picking,respond,1439.8,100,2
21,Chest_Picking,nonrespond,1264.7,100,2
21,Chest_Picking,nonrespond,1310.8,100,2
21,Chest_Picking,respond,1419.4,100,2
21,Chest_Picking,respond,1196.2,100,2
21,Chest_Picking,inhibit,993.9,100,2
21,Chest_Picking,respond,1289.8,150,2
21,Chest_Picking,inhibit,1310.1,150,2
21,Chest_Picking,respond,1204,200,2
21,Chest_Picking,nonrespond,840.7,200,2
21,Chest_Picking,inhibit,1230.3,200,2
21,Chest_Picking,respond,1145.4,250,2
21,Chest_Picking,respond,1147.6,250,2
21,Chest_Picking,nonrespond,1024.7,200,2
21,Chest_Picking,inhibit,1213,200,2
21,Chest_Picking,respond,1230.4,250,2
21,Chest_Picking,nonrespond,1201.7,200,2
